uid,card_name,base_cost,upgrade_cost,type,base_description,upgrade_description,描述的描述,rarity,小作文与评审,实现器/执行器，见文档 
1 ,红球,4 ,3,道具,生成一个红球,Cost->3,等级一,普通,,生成一个红球的标识，弹球阶段才会依照标识依次真正的生成。 
2 ,黄球,6 ,5,道具,生成一个黄球,Cost->5,等级二,普通,,同上 
3 ,变快,1 ,1 ,技能,红球速度提升5%,10%,,普通,,"对象：球组，属性：速度，乘法数值提升。{target:,var(enmu):,value:}" 
4 ,变大,1 ,1 ,技能,红球体型变大5%,10%,,普通,,同上 
5 ,变强,1 ,1 ,技能,红球碰撞伤害+1,2,,普通,,同上 
6 ,无中生有,2 ,2 ,技能,抽两张牌，消耗,Cost->1,,普通,,抽牌 
7 ,对撞实验,1 ,1 ,技能,如果该牌前的两张牌相同，获得4点能量,获得6点能量,Id相同即可,普通,,1.判断；2.能量 
8 ,升级,3 ,3 ,技能,将随机一个等级2及以下的小球升级,Cost->2,最先设置数值,普通,,1.获取单个球；2.set value; 
9 ,突破天际,7 ,7 ,技能,不消耗准备队列栏位，生成2个栏位。消耗1出牌次数。消耗,生成3个栏位,如果没执行，多出的栏位放置的牌会到弃牌堆。该牌放到弃牌堆，不消耗出牌次数,普通 ,,
10 ,蛇群,2 ,2 ,技能,从抽牌堆中搜索一张牌，代替执行，消耗,取消消耗,是抽牌堆，不是通用牌库,普通,,1.搜索，调牌堆展示；2.执行 
11 ,Goto,1 ,1 ,技能,跳到0执行，消耗。,可执行一次：超过次数消耗。+不消耗准备队列栏位,可执行次数,普通,,1.执行跳转 
12 ,你给路打哟,1 ,1 ,技能,如果该牌没有执行，则将该牌和前一张牌放回手牌区,Cost->2,反向升级,普通,退亦是勇,1.执行判断；2.牌移动 
13 ,IfWhile,2 ,2 ,技能,根据前一张牌的cost决定下一张牌的执行次数，消耗,执行次数+1,话说这个，如果有同一算不算减弱，当然，当然,普通 ,,
14 ,交换,0 ,0 ,技能,从手牌区选3放回牌库，抽3张牌,选4抽4,,普通,,1.牌移动 
